Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C1,C_0201_Nominal,C915760,1
105k,R5,R_0201_Dense,C226397,1
10uF,"C2,C3",C_0603_Dense,C194427,2
160,"R18,R19,R20,R21,R22,R23,R24,R25",R_0201_Dense,C295775,8
1M43,R4,R_0201_Dense,C784121,1
1k0,"R1,R11,R14,R17,R2,R8",R_0402_Nominal,C5455561,6
33R,R3,R_0201_Nominal,C226514,1
4k7,"TH1,TH2,TH3,TH4",TH_0402_Nominal,C337962,4
511,"R10,R13,R16,R7",R_0201_Dense,C367646,4
5R6,"R12,R15,R6,R9",R_0402_Nominal,C830259,4
BC807-25QAZ,"Q3,Q5,Q7,Q9",DFN1010D-3,C549402,4
CSD25501F3,"Q1,Q2,Q4,Q6,Q8",Texas_-YJN_0.7x0.6mm_PicoStar,C2872196,5
ESD,"D7,D8",DFN1006-2,C604770,2
PicoBlade 1x06 P1.25mm,CN1,Molex_PicoBlade_53261-0671_1x06_P1.25mm_Horizontal_SMD,C2845383,1
QLSP06RGBXWAJ,"LED1,LED2,LED3",QLSP06RGBXWAJ,C17645191,3
TLV76701DRVx,U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2863998,1
TVS,"D6,D9",DFN1006-2,C1973850,2
WS2814F,U1,FSOP-8_3.25x1.65mm_P0.8mm,C5446694,1
