Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0201_Nominal,114.1,-65.125,0.0,top
C2,10uF,C_0603_Dense,113.4,-70.05,-90.0,top
C3,10uF,C_0603_Dense,109.3,-70.1,-90.0,top
CN1,PicoBlade 1x06 P1.25mm,Molex_PicoBlade_53261-0671_1x06_P1.25mm_Horizontal_SMD,107.6,-76.8,0.0,top
D6,TVS,DFN1006-2,106.6,-73.1,180.0,top
D7,ESD,DFN1006-2,110.35,-73.1,180.0,top
D8,ESD,DFN1006-2,108.6,-73.1,0.0,top
D9,TVS,DFN1006-2,104.85,-73.1,0.0,top
LED1,QLSP06RGBXWAJ,QLSP06RGBXWAJ,104.0,-61.6,90.0,top
LED2,QLSP06RGBXWAJ,QLSP06RGBXWAJ,107.6,-61.6,90.0,top
LED3,QLSP06RGBXWAJ,QLSP06RGBXWAJ,111.2,-61.6,90.0,top
Q1,CSD25501F3,Texas_-YJN_0.7x0.6mm_PicoStar,107.425,-71.075,180.0,top
Q2,CSD25501F3,Texas_-YJN_0.7x0.6mm_PicoStar,103.025,-65.025,180.0,top
Q3,BC807-25QAZ,DFN1010D-3,106.5,-64.775,0.0,top
Q4,CSD25501F3,Texas_-YJN_0.7x0.6mm_PicoStar,102.225,-67.225,180.0,top
Q5,BC807-25QAZ,DFN1010D-3,105.7,-66.975,0.0,top
Q6,CSD25501F3,Texas_-YJN_0.7x0.6mm_PicoStar,101.825,-69.425,180.0,top
Q7,BC807-25QAZ,DFN1010D-3,105.3,-69.175,0.0,top
Q8,CSD25501F3,Texas_-YJN_0.7x0.6mm_PicoStar,101.425,-71.625,180.0,top
Q9,BC807-25QAZ,DFN1010D-3,104.9,-71.375,0.0,top
R1,1k0,R_0402_Nominal,102.85,-73.1,0.0,top
R10,511,R_0201_Dense,102.4,-66.1,-90.0,top
R11,1k0,R_0402_Nominal,107.1,-66.675,-90.0,top
R12,5R6,R_0402_Nominal,102.9,-68.875,90.0,top
R13,511,R_0201_Dense,102.0,-68.3,-90.0,top
R14,1k0,R_0402_Nominal,106.7,-68.875,-90.0,top
R15,5R6,R_0402_Nominal,102.5,-71.075,90.0,top
R16,511,R_0201_Dense,101.6,-70.5,-90.0,top
R17,1k0,R_0402_Nominal,106.3,-71.075,-90.0,top
R18,160,R_0201_Dense,114.1,-60.2,0.0,top
R19,160,R_0201_Dense,114.1,-60.8,0.0,top
R2,1k0,R_0402_Nominal,109.875,-68.3,180.0,top
R20,160,R_0201_Dense,114.1,-61.4,0.0,top
R21,160,R_0201_Dense,114.1,-62.0,0.0,top
R22,160,R_0201_Dense,114.1,-62.6,0.0,top
R23,160,R_0201_Dense,114.1,-63.2,0.0,top
R24,160,R_0201_Dense,114.1,-63.8,0.0,top
R25,160,R_0201_Dense,114.1,-64.4,0.0,top
R3,33R,R_0201_Nominal,113.6,-66.725,180.0,top
R4,1M43,R_0201_Dense,108.4,-69.6,90.0,top
R5,105k,R_0201_Dense,108.4,-70.6,90.0,top
R6,5R6,R_0402_Nominal,104.1,-64.475,90.0,top
R7,511,R_0201_Dense,103.2,-63.9,-90.0,top
R8,1k0,R_0402_Nominal,107.9,-64.475,-90.0,top
R9,5R6,R_0402_Nominal,103.3,-66.675,90.0,top
TH1,4k7,TH_0402_Nominal,105.15,-64.6,-90.0,top
TH2,4k7,TH_0402_Nominal,104.35,-66.8,-90.0,top
TH3,4k7,TH_0402_Nominal,103.95,-69.0,-90.0,top
TH4,4k7,TH_0402_Nominal,103.55,-71.2,-90.0,top
U1,WS2814F,FSOP-8_3.25x1.65mm_P0.8mm,110.8,-65.525,0.0,top
U2,TLV76701DRVx,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,111.45,-70.1,0.0,top
